ticker,name,composite_score,grade,sd_score,inst_score,tech_score,fund_score,analyst_score,rs_score,current_price,target_upside,rank
TGT,Target Corporation,70.8,🌟 A급 (적극 매수),75,65,80,65,50,83,100.51,-3.3,23
NCLH,Norwegian Cruise Line Holdings Ltd.,70.8,🌟 A급 (적극 매수),80,55,73,75,65,75,22.78,20.2,24
HST,"Host Hotels & Resorts, Inc.",70.3,🌟 A급 (적극 매수),75,65,70,70,75,66,18.16,9.0,25
LHX,"L3Harris Technologies, Inc.",70.1,🌟 A급 (적극 매수),75,70,73,55,80,65,304.48,10.1,26
AME,"AMETEK, Inc.",70.0,📈 B급 (매수 고려),70,70,73,65,75,66,209.14,6.7,27
AAL,American Airlines Group Inc.,70.0,🌟 A급 (적극 매수),75,60,70,65,75,80,15.48,2.5,28
MKC,"McCormick & Company, Incorporated",69.8,📈 B급 (매수 고려),65,70,73,70,80,65,67.28,14.3,29
VTRS,Viatris Inc.,69.6,📈 B급 (매수 고려),85,70,68,45,50,90,12.46,-0.1,30
CMCSA,Comcast Corporation,69.6,📈 B급 (매수 고려),75,70,73,65,60,65,29.54,17.4,31
FOXA,Fox Corporation,69.5,📈 B급 (매수 고려),80,55,60,70,70,90,73.76,-0.7,32
REGN,"Regeneron Pharmaceuticals, Inc.",69.5,📈 B급 (매수 고려),70,70,60,70,75,80,776.31,2.7,33
DECK,Deckers Outdoor Corporation,69.5,📈 B급 (매수 고려),65,65,80,75,55,75,106.79,4.3,34
BALL,Ball Corporation,69.3,📈 B급 (매수 고려),75,70,68,70,60,65,53.35,12.8,35
LRCX,Lam Research Corporation,69.3,📈 B급 (매수 고려),60,70,73,65,70,90,185.06,-8.2,36
RTX,RTX Corporation,69.2,📈 B급 (매수 고려),60,70,73,65,75,83,187.25,4.6,37
LMT,Lockheed Martin Corporation,69.1,📈 B급 (매수 고려),75,65,73,65,55,75,497.07,5.4,38
BA,The Boeing Company,68.8,📈 B급 (매수 고려),70,65,68,65,75,75,227.77,7.9,39
ILMN,"Illumina, Inc.",68.5,📈 B급 (매수 고려),70,65,70,65,70,73,134.35,-6.8,40
WFC,Wells Fargo & Company,68.5,📈 B급 (매수 고려),70,65,60,70,75,80,95.2,0.6,41
KEY,KeyCorp,68.5,📈 B급 (매수 고려),60,70,70,65,75,83,20.98,8.7,42
HSIC,"Henry Schein, Inc.",68.3,📈 B급 (매수 고려),75,65,70,65,55,73,76.82,1.1,43
JBL,Jabil Inc.,68.3,📈 B급 (매수 고려),55,65,83,70,55,90,240.39,7.8,44
FTV,Fortive Corporation,68.3,📈 B급 (매수 고려),75,65,70,70,55,66,55.39,4.3,45
XOM,Exxon Mobil Corporation,68.2,📈 B급 (매수 고려),65,65,83,55,75,66,122.65,7.3,46
HON,Honeywell International Inc.,68.0,📈 B급 (매수 고려),70,70,55,75,85,58,195.88,20.8,47
HUBB,Hubbell Incorporated,67.9,📈 B급 (매수 고려),55,65,83,65,75,73,463.03,5.1,48
EQR,Equity Residential,67.9,📈 B급 (매수 고려),60,70,73,70,80,58,62.03,13.3,49
TXT,Textron Inc.,67.8,📈 B급 (매수 고려),80,65,55,70,75,58,87.05,6.9,50
STLD,"Steel Dynamics, Inc.",67.8,📈 B급 (매수 고려),55,70,70,75,75,73,176.06,4.0,51
HBAN,Huntington Bancshares Incorporated,67.8,📈 B급 (매수 고려),60,65,70,80,80,58,17.48,14.4,52
TFC,Truist Financial Corporation,67.8,📈 B급 (매수 고려),65,65,70,70,75,66,49.74,3.0,53
CMG,"Chipotle Mexican Grill, Inc.",67.8,📈 B급 (매수 고려),60,70,68,65,80,75,37.49,15.1,54
FSLR,"First Solar, Inc.",67.5,📈 B급 (매수 고려),60,55,70,80,75,80,274.34,0.1,55
CFG,"Citizens Financial Group, Inc.",67.3,📈 B급 (매수 고려),60,65,70,70,75,73,59.39,7.1,56
