ticker,institutional_pct,insider_pct,short_pct,float_shares_m,num_inst_holders,insider_buys,insider_sells,insider_sentiment,institutional_score,institutional_stage
MO,62.64,0.09,2.71,1675.47,10,0,0,Neutral,65,Institutional Support
MOH,113.3,1.37,9.38,47.93,10,0,0,Neutral,65,Institutional Support
MOS,97.89,0.47,6.46,315.73,10,0,0,Neutral,65,Institutional Support
MPC,75.49,0.27,3.66,299.76,10,0,0,Neutral,60,Institutional Support
MPWR,101.45,3.74,4.24,46.04,10,0,0,Neutral,65,Institutional Support
MRK,80.3,0.06,1.67,2478.03,10,0,0,Neutral,70,Strong Institutional Support
MRNA,71.66,7.41,21.68,364.15,10,0,0,Neutral,50,Neutral
MRO,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
MS,62.65,24.1,1.3,1207.8,10,0,0,Neutral,65,Institutional Support
MSCI,94.95,3.48,3.0,71.14,10,0,0,Neutral,65,Institutional Support
MSFT,75.71,0.07,0.9,7421.53,10,0,0,Neutral,65,Institutional Support
MSI,88.94,0.43,1.85,165.83,10,0,0,Neutral,70,Strong Institutional Support
MTB,90.7,0.36,4.49,152.98,10,0,0,Neutral,65,Institutional Support
MTCH,108.61,0.65,5.83,234.34,10,0,0,Neutral,65,Institutional Support
MTD,103.12,0.44,3.92,20.32,10,0,0,Neutral,65,Institutional Support
